uid,jobUid,title,description,jobType,deadline,createdAt,date_posted,externalApplicationLink,jobLink,company,companyWebsite,companyLogo,companyEmail,city,state,country,locationName,formattedAddress,placeId,latitude,longitude,workType,salaryMin,salaryMax,salaryCurrency,salaryPeriod,keywords,skills,hiringTeam,workEmail,numberOfPositions,screeningQuestions,allowEmailApplications,job.visibility.allowedLocations,review_status,review_notes
,,Adobe Specialist (Illustrator),"Collaborate with the customer's team to identify training needs and ensure alignment with organizational goals. Strong organizational and time management skills, with attention to detail in all training materials. This is a remote role in Los Angeles, CA, United States.

Assess learners’ proficiency, provide constructive feedback, and adapt training methods for optimal results. Required Skills and Qualifications: Demonstrated expertise in Adobe Illustrator, with solid experience utilizing AI-driven features and tools. Mid-level proficiency in Illustrator, capable of teaching both foundational and advanced concepts. Pay is USD70 per hour.

In this role, you'll design, develop, and deliver comprehensive training programs on Adobe Illustrator with emphasis on AI-powered features and workflows. Lead interactive virtual training sessions, tailoring instruction to various skill levels and learning styles. Create engaging training materials, tutorials, and documentation to support ongoing learner development. Assess learners’ proficiency, provide constructive feedback, and adapt training methods for optimal results.",FREELANCE,,03-06-2026,03-06-2026,https://www.linkedin.com/jobs/view/adobe-specialist-illustrator-at-micro1-4422906490,https://www.linkedin.com/jobs/view/adobe-specialist-illustrator-at-micro1-4422906490,micro1,https://www.micro1.ai,https://www.google.com/s2/favicons?domain=www.micro1.ai&sz=128,,Los Angeles,CA,United States,"Los Angeles, CA","Los Angeles, CA, United States",,,,REMOTE,70,70,USD,HOURLY,"illustrator,illustration,remote","Adobe Illustrator,digital illustration,visual storytelling",,,1,,FALSE,,REJECT,Rule 1 fail (micro1 is an AI training platform) and Rule 5 fail (specialist/trainer not practitioner designer).
,,Remote Adobe Illustrator,"Adobe Specialist (Illustrator) $21 - $70/hourpay Required Skills adobe illustratorai-powered design toolsvirtual training deliveryinstructional designwritten and verbal communicationorganizational skillstime managementadaptability to new technologieslearner assessment and feedbackteam collaboration About micro1 micro1 connects domain experts to the development of frontier AI models. Real-world expertise is turned into training data, evaluations, and feedback loops that improve how models perform.

Adobe Specialist (Illustrator) $21 - $70/hourpay Required Skills adobe illustratorai-powered design toolsvirtual training deliveryinstructional designwritten and verbal communicationorganizational skillstime managementadaptability to new technologieslearner assessment and feedbackteam collaboration About micro1 micro1 connects domain experts to the development of frontier AI models. No prior experience in AI is required — your domain knowledge is what matters. Assess learners’ proficiency, provide constructive feedback, and adapt training methods for optimal results.

Adobe Specialist (Illustrator) $21 - $70/hourpay Required Skills adobe illustratorai-powered design toolsvirtual training deliveryinstructional designwritten and verbal communicationorganizational skillstime managementadaptability to new technologieslearner assessment and feedbackteam collaboration About micro1 micro1 connects domain experts to the development of frontier AI models. Job Description Job Title: Adobe Specialist (Illustrator) Job Type: Contractor Location: Remote Job Summary: In this role, you'll apply your expertise to help train next-generation AI systems. Key Responsibilities: Design, develop, and deliver comprehensive training programs on Adobe Illustrator with emphasis on AI-powered features and workflows. Create engaging training materials, tutorials, and documentation to support ongoing learner development.",FREELANCE,,04-06-2026,04-06-2026,https://www.talent.com/view?id=622441735402686533,https://www.talent.com/view?id=622441735402686533,Micro1,https://www.micro1.ai,https://www.google.com/s2/favicons?domain=www.micro1.ai&sz=128,,Los Angeles,California,us,"Los Angeles, California","Los Angeles, California, us",,,,HYBRID,0,21,USD,HOURLY,"illustrator,illustration,remote","Adobe Illustrator,digital illustration,visual storytelling",,,1,,FALSE,,REJECT,Rule 1 fail — Micro1 connects domain experts to AI model training; role is AI training work.
,,Remote Adobe Specialist (Illustrator),"Remote Adobe IllustratorMicro1 Oak Lawn, Illinois, US Job description Adobe Specialist (Illustrator) $21 - $70/hourpay ## Required Skills adobe illustratorai-powered design toolsvirtual training deliveryinstructional designwritten and verbal communicationorganizational skillstime managementadaptability to new technologieslearner assessment and feedbackteam collaboration ### About micro1 micro1 connects domain experts to the development of frontier AI models. Real-world expertise is turned into training data, evaluations, and feedback loops that improve how models perform.

Remote Adobe IllustratorMicro1 Oak Lawn, Illinois, US Job description Adobe Specialist (Illustrator) $21 - $70/hourpay ## Required Skills adobe illustratorai-powered design toolsvirtual training deliveryinstructional designwritten and verbal communicationorganizational skillstime managementadaptability to new technologieslearner assessment and feedbackteam collaboration ### About micro1 micro1 connects domain experts to the development of frontier AI models. No prior experience in AI is required — your domain knowledge is what matters. Assess learners’ proficiency, provide constructive feedback, and adapt training methods for optimal results.

Remote Adobe IllustratorMicro1 Oak Lawn, Illinois, US Job description Adobe Specialist (Illustrator) $21 - $70/hourpay ## Required Skills adobe illustratorai-powered design toolsvirtual training deliveryinstructional designwritten and verbal communicationorganizational skillstime managementadaptability to new technologieslearner assessment and feedbackteam collaboration ### About micro1 micro1 connects domain experts to the development of frontier AI models. In this role, you'll design, develop, and deliver comprehensive training programs on Adobe Illustrator with emphasis on AI-powered features and workflows.",FREELANCE,,31-05-2026,31-05-2026,https://jooble.org/away/8689749687515657284,https://jooble.org/away/8689749687515657284,Micro1,https://www.micro1.ai,https://www.google.com/s2/favicons?domain=www.micro1.ai&sz=128,,San Francisco,California,United States,"San Francisco, California","San Francisco, California, United States",,,,REMOTE,21,70,USD,HOURLY,"illustrator,illustration,remote","Adobe Illustrator,digital illustration,visual storytelling",,,1,,FALSE,,REJECT,Rule 1 fail (Micro1 AI training platform) Rule 5 fail (ambiguous trainer role) and listing no longer available.
,,Freelance Illustrator – Character Art & Pattern Design,"Polygroup North America is hiring a freelance illustrator for character art and pattern design work on consumer products. The role sits within the art team and supports product development from concept through production-ready artwork.

We're looking for an illustrator with strong character design skills, pattern development experience, and the ability to work within established brand guidelines. You should collaborate well with art directors, take feedback constructively, and deliver polished files on schedule in a remote freelance setup.

Reporting to the Art Director, you'll partner with U.S. product development teams to create character art, repeats, and pattern systems for retail products. This is a flexible remote freelance role suited to illustrators with toy, plush, or consumer product experience.",FREELANCE,,04-06-2026,04-06-2026,https://www.indeed.com/viewjob?jk=0390a4e5284980e4,https://www.indeed.com/viewjob?jk=0390a4e5284980e4,Polygroup North America,https://www.polygroup.com,https://www.google.com/s2/favicons?domain=www.polygroup.com&sz=128,,Los Angeles,CA,United States,"Los Angeles, CA","Los Angeles, CA, United States",,,,REMOTE,50,50,USD,HOURLY,"illustrator,illustration,remote","Adobe Illustrator,digital illustration,visual storytelling",,,1,,FALSE,,PASS,All rules clear; active listing confirmed on Indeed.
,,Children's Illustrator — Digital Watercolor Gouache,"StorybookYou creates personalised children's books and is looking for an illustrator who works in a digital watercolor gouache style. The company focuses on warm, story-driven artwork that feels handcrafted and emotionally engaging for young readers.

We're looking for a children's illustrator with a soft painterly style, strong character appeal, and experience adapting illustrations across story scenes. You should be comfortable working remotely, meeting art direction notes, and maintaining consistency across multiple book pages.

You'll illustrate scenes and characters for personalised storybooks, refine compositions for print reproduction, and collaborate with the creative team on style consistency. This hybrid role suits an illustrator who loves narrative artwork and wants recurring freelance or contract work in children's publishing.",FREELANCE,,04-06-2026,04-06-2026,https://www.indeed.com/viewjob?jk=4d382c89288d86b1,https://www.indeed.com/viewjob?jk=4d382c89288d86b1,StorybookYou,https://www.storybookyou.com,https://www.google.com/s2/favicons?domain=www.storybookyou.com&sz=128,,New York,NY,United States,"New York, NY","New York, NY, United States",,,,HYBRID,60,60,USD,HOURLY,"illustrator,illustration,remote","Adobe Illustrator,digital illustration,visual storytelling",,,1,,FALSE,,PASS,All rules clear; active listing confirmed at /hr.
,,Senior Medical Illustrator,"Virtual Vocations curates remote professional opportunities across the U.S. This senior medical illustrator opening is with a healthcare education organization that needs high-quality scientific visuals for learning products.

We're looking for an experienced medical illustrator with strong biomedical subject knowledge, excellent draftsmanship, and the ability to translate complex science into clear visuals. You should be comfortable working independently, managing project timelines, and collaborating with instructional or scientific stakeholders.

Responsibilities include creating accurate medical illustrations, supporting content development with visual assets, and maintaining consistency across educational materials. This is a remote contract-friendly role for senior illustrators who want steady freelance or part-time work in health education.",FREELANCE,,04-06-2026,04-06-2026,https://jooble.org/away/-1016321225501993804,https://jooble.org/away/-1016321225501993804,Virtual Vocations Inc,https://www.virtualvocations.com,https://www.google.com/s2/favicons?domain=www.virtualvocations.com&sz=128,,San Francisco,California,United States,"San Francisco, California","San Francisco, California, United States",,,,HYBRID,18,28,USD,HOURLY,"illustrator,illustration,remote","Adobe Illustrator,digital illustration,visual storytelling",,,1,,FALSE,,REJECT,Dead link — listing no longer available; Rule 3 flag (significantly below market for senior medical illustrator) is secondary.
,,Design & Content - Internship,"Thinkcetera Thinkcetera helps startups and growing businesses build brands that feel clear, modern, and built to last. From branding and visual identity to digital experiences, content, and growth, we work across the spaces where perception is shaped online. This is an on-site role in Bangalore, Karnataka, India.

We're looking for someone with Branding, Typography, UI & UX Design and Visual Design Other Requirements: . Candidates who have completed their degree or course of study. Pay ranges from INR10,000 to INR15,000 per month.

In this role, you'll contribute to branding, visual identity, content, and creative communication projects across multiple platforms. Assist in designing social media creatives, marketing assets, presentations, and digital experiences. Support content creation, research, and storytelling initiatives for client and internal projects. Participate in the development and maintenance of visual systems and brand assets.",FREELANCE,06-07-2026 23:59,06-06-2026,06-06-2026,https://internshala.com/internship/detail/design-content-internship-in-bangalore-at-thinkcetera1780748949,https://internshala.com/internship/detail/design-content-internship-in-bangalore-at-thinkcetera1780748949,Thinkcetera,http://thinkcetera.com,https://www.google.com/s2/favicons?domain=thinkcetera.com&sz=128,,Bangalore,Karnataka,India,"Bangalore, Karnataka","Bangalore, Karnataka, India",,,,ONSITE,10000,15000,INR,MONTHLY,"Branding,Bangalore,India,design","Adobe Creative Suite,visual design,branding,illustration",,,1,,FALSE,,PASS,
,,Graphic Design - Internship,"Peeko Peeko is a rapid-commerce platform delivering baby and kids' essentials quickly and reliably. By combining fast delivery, curated products, and smart technology, we make life easier for parents and caregivers, ensuring they get what they need exactly when they need it. This is an on-site role in Bangalore, Karnataka, India.

We're looking for someone with Adobe Photoshop, CorelDRAW, Adobe Illustrator, Adobe Premiere Pro, Adobe Creative Suite, Typography, Adobe After Effects, Visual Design and Graphic Design Pay ranges from INR14,999 to INR15,000 per month.

In this role, you'll design eye-catching graphics for performance ads (static + carousels) and push creative banners. Craft campaign key visuals, promotional posters, and launch assets for new categories and offers. Use generative AI tools to: a. Rapidly generate mood boards, concept variations, and image treatments.",FREELANCE,05-07-2026 23:59,05-06-2026,05-06-2026,https://internshala.com/internship/detail/graphic-design-internship-in-bangalore-at-peeko1780634992,https://internshala.com/internship/detail/graphic-design-internship-in-bangalore-at-peeko1780634992,Peeko,http://peekonow.com,https://www.google.com/s2/favicons?domain=peekonow.com&sz=128,,Bangalore,Karnataka,India,"Bangalore, Karnataka","Bangalore, Karnataka, India",,,,ONSITE,14999,15000,INR,MONTHLY,"Illustration,Bangalore,India,design","Adobe Creative Suite,visual design,branding,illustration",,,1,,FALSE,,PASS,
,,Visual Design - Internship,"Ayu Devices We are a startup spun out of IIT Bombay, currently based in SINE, IIT Bombay. We provide an innovative medical device to doctors that facilitates early screening and better diagnosis of specific heart/lung diseases. This is an on-site role in Bangalore, Karnataka, India.

We're looking for someone with Adobe Photoshop, Adobe Illustrator, Video Editing, Adobe Creative Suite, Photography, Video Making, Adobe After Effects, Adobe Photoshop Lightroom CC and Figma Pay ranges from INR7,000 to INR10,000 per month.

In this role, you'll creating product and content video . Working on video editing, product photography, and event photography . Working on photo editing . Producing creative designs for social media posts .",FREELANCE,05-07-2026 23:59,05-06-2026,05-06-2026,https://internshala.com/internship/detail/visual-design-internship-in-bangalore-at-ayu-devices1780639466,https://internshala.com/internship/detail/visual-design-internship-in-bangalore-at-ayu-devices1780639466,Ayu Devices,http://ayudevices.com,https://www.google.com/s2/favicons?domain=ayudevices.com&sz=128,,Bangalore,Karnataka,India,"Bangalore, Karnataka","Bangalore, Karnataka, India",,,,ONSITE,7000,10000,INR,MONTHLY,"Illustration,Bangalore,India,design","Adobe Creative Suite,visual design,branding,illustration",,,1,,FALSE,,PASS,
,,Graphic Designer & Video Editor,"I Cap Traders Circuit Private Limited We at Traders Circuit believe in making trading easier and helping individuals make better financial decisions. Be it short-term profits or building a portfolio for long-term growth, our platform gives you actionable recommendations that are easy to follow and implement. This is an on-site role in Bangalore, Karnataka, India.

We're looking for someone with Adobe Photoshop, Adobe Illustrator, Video Editing, Adobe Premiere Pro, Final Cut Pro, Coordination, Adobe After Effects, Canva and Graphic Design Other Requirements: Required Skills & Qualifications: . Proficiency in graphic design tools such as Adobe Photoshop, Illustrator, Canva, or similar tools. Proficiency in video editing tools such as Adobe Premiere Pro, After Effects, Final Cut Pro, or equivalent software. Pay ranges from INR300,000 to INR500,000 per year.

In this role, you'll create engaging graphics and visual creatives for marketing materials, social media platforms, websites, landing pages, presentations, and internal communication. Edit and produce short-form and long-form videos for social media, websites, digital ads, campaigns, and internal use. Optimize videos for platforms such as Instagram (Reels, Stories, Posts), Facebook, and YouTube. Ensure all creatives and videos align with brand guidelines and marketing objectives.",FREELANCE,02-07-2026 23:59,02-06-2026,02-06-2026,https://internshala.com/job/detail/graphic-designer-video-editor-job-in-bangalore-at-i-cap-traders-circuit-private-limited1780379740,https://internshala.com/job/detail/graphic-designer-video-editor-job-in-bangalore-at-i-cap-traders-circuit-private-limited1780379740,I Cap Traders Circuit Private Limited,http://traderscircuit.com,https://www.google.com/s2/favicons?domain=traderscircuit.com&sz=128,,Bangalore,Karnataka,India,"Bangalore, Karnataka","Bangalore, Karnataka, India",,,,ONSITE,300000,500000,INR,ANNUAL,"Illustration,Bangalore,India,design","Adobe Creative Suite,visual design,branding,illustration",,,1,,FALSE,,PASS,All rules clear; valid active listing confirmed.
