title,jobLink
"Director of Learning Design, Immersive Language Learning",https://careers.duolingo.com/jobs/8290443002?gh_jid=8290443002
"Director of Learning Design, Immersive Language Learning",https://careers.duolingo.com/jobs/8290478002?gh_jid=8290478002
"Director of Learning Design, Language Learning",https://careers.duolingo.com/jobs/8236638002?gh_jid=8236638002
"Social Content Creator, Intern",https://careers.duolingo.com/jobs/8301519002?gh_jid=8301519002
Staff Product Designer,https://careers.duolingo.com/jobs/8200009002?gh_jid=8200009002
Staff Product Designer,https://careers.duolingo.com/jobs/8200010002?gh_jid=8200010002
Director of Product Design,https://careers.duolingo.com/jobs/8398180002?gh_jid=8398180002
Director of Product Design,https://careers.duolingo.com/jobs/8398191002?gh_jid=8398191002
"Senior Product Design Manager, Buyer Desktop and Mobile Web",https://careers.etsy.com/jobs/senior-product-design-manager-buyer-desktop-and-mobile-web-brooklyn-new-york-united-states
Social Media &amp; Content Internship,https://careers.greenly.earth/jobs/7129555-social-media-content-internship
Brand Partnerships Project manager 12 months FTC,https://activision.wd1.myworkdayjobs.com/King_External_Careers/job/London---King---Ampersand/Brand-Partnerships-Project-manager---12-months-FTC_R026588/apply
Learning Experience Designer,https://job-boards.greenhouse.io/masterclass/jobs/6434155
"Designer, Performance Marketing",https://job-boards.greenhouse.io/masterclass/jobs/7659344
"Lead, Brand Creative Experience Design",https://careers.nike.com/lead-brand-creative-experience-design-jordan-na/job/R-78389
"Lead, Brand Creative Retail Season Design",https://careers.nike.com/lead-brand-creative-retail-season-design-jordan-na/job/R-74865
"Lead, Brand Creative Experience Design",https://nike.wd1.myworkdayjobs.com/nke/job/Beaverton-Oregon/Lead--Brand-Creative-Experience-Design---Jordan-NA_R-78389/apply
"Lead, Brand Creative Retail Season Design",https://nike.wd1.myworkdayjobs.com/nke/job/Beaverton-Oregon/Lead--Brand-Creative-Retail-Season-Design---Jordan-NA_R-74865/apply
Director of Strategic Content Partnerships,https://shutterstock.wd1.myworkdayjobs.com/ShutterstockCareers/job/London/Director-of-Strategic-Content-Partnerships_R0003072/apply
Director of Strategic Content Partnerships,https://shutterstock.wd1.myworkdayjobs.com/ShutterstockCareers/job/New-York-City/Director-of-Strategic-Content-Partnerships_R0003063/apply
Design Manager,https://job-boards.greenhouse.io/taketwo/jobs/7218430
"Legal Assistant, Music Business Affairs",https://job-boards.greenhouse.io/taketwo/jobs/7540089
Brand Management,https://careers.worldwidepartners.com/jobs/category/brand-management/
3D Artist,https://careers.roblox.com/jobs/7542519
Brand Designer,https://careers.roblox.com/jobs/7424669
Content Designer,https://careers.roblox.com/jobs/7558584
"Real Estate, Design & Property Management",https://corporate.target.com/careers/career-areas/corporate/real-estate-design-and-property-management
"UX Design, Research & Accessibility",https://corporate.target.com/careers/career-areas/corporate/ux-design-research-and-accessibility
Great Website Design Buffalo NY,https://djc-designs.com/careers/jobs/
Great Website Design Buffalo NY,https://djc-designs.com/career/jobs/
Great Website Design Buffalo NY,https://djc-designs.com/job-search-results/
Product Designer:in,https://dribbble.com/jobs/222494-Product-Designer-in-UX-UI-w-m-d
Founding Product Designer,https://dribbble.com/jobs/302553-Founding-Product-Designer
Senior Creative Designer,https://dribbble.com/jobs/302552-Senior-Creative-Designer
Senior Associate,https://dribbble.com/jobs/302519-Senior-Associate-Graphic-Designer
Freelance AI Prototype Designer,https://dribbble.com/jobs/275394-Freelance-AI-Prototype-Designer
Digital Designer,https://dribbble.com/jobs/300935-Digital-Designer-Visual-UI
Graphic Designer (Web,https://dribbble.com/jobs/300902-Graphic-Designer-Web-Focused-Wix
Video and Motion Graphics Editor,https://dribbble.com/jobs/302486-Video-and-Motion-Graphics-Editor
Art Director,https://dribbble.com/jobs/300770-Art-Director-Brand-Identity
Senior Graphic Designer,https://dribbble.com/jobs/302453-Senior-Graphic-Designer
Senior Designer,https://dribbble.com/jobs/302420-Senior-Designer
UX Designer,https://dribbble.com/jobs/302355-UX-Designer
Visual Brand Manager & Content Designer,https://dribbble.com/jobs/302354-Visual-Brand-Manager-Content-Designer
Freelance Experiential Graphic Designer,https://factory360.com/careers/freelance-experiential-graphic-designers/
Frontend AI UI EngineerFull,https://jobs.smartrecruiters.com/Freshworks/744000077298565-frontend-ai-ui-engineer
Freshworks Senior Staff Product Designer,https://jobs.smartrecruiters.com/Freshworks/744000111202136-senior-staff-product-designer-ai-experience-
Freshworks Lead eLearning Designer,https://jobs.smartrecruiters.com/Freshworks/744000111477245-lead-elearning-designer-technical-enablement
Frontend AI UI EngineerFull,https://jobs.smartrecruiters.com/Freshworks/744000077298565-frontend-ai-ui-engineer?trid=f8a3489b-f0e4-4b22-9b2a-0631566ca12f
Freshworks Senior Staff Product Designer,https://jobs.smartrecruiters.com/Freshworks/744000111202136-senior-staff-product-designer-ai-experience-?trid=f8a3489b-f0e4-4b22-9b2a-0631566ca12f
Freshworks Principal Product Designer,https://jobs.smartrecruiters.com/Freshworks/744000094256455-principal-product-designer-ic-?trid=f8a3489b-f0e4-4b22-9b2a-0631566ca12f
Frontend AI UI EngineerFull,https://jobs.smartrecruiters.com/Freshworks/744000077297900-frontend-ai-ui-engineer?trid=f8a3489b-f0e4-4b22-9b2a-0631566ca12f
"Director, Content Creator",https://golin.com/careers/open-positions/?gh_jid=8404282002&cmg_gh_hash=030226193725
"VP, Social Content Strategist",https://golin.com/careers/open-positions/?gh_jid=8220807002&cmg_gh_hash=030226193725
Mid,https://job-boards.eu.greenhouse.io/financialtimes33/jobs/4752575101
Design Advisor,https://jobs.architecture.com/jobs/design-advisor
Design Manager,https://jobs.architecture.com/jobs/design-manager
Designer,https://jobs.architecture.com/jobs/designer
Interior Architecture and Design,https://jobs.architecture.com/jobs/interior-architecture-and-design
Principal Designer/CDM Advisor,https://jobs.architecture.com/jobs/principal-designer-cdm-advisor
Design Review Panel Members,https://jobs.architecture.com/job/30799/design-review-panel-members
"Senior Manager, Content & Product MarketingGTM • Remote  • Full time • Remote",https://jobs.ashbyhq.com/mazehq/129f61df-53e5-4dab-9bf7-8af809c34be3
Content,https://jobs.netflix.com/careers/content
"Senior Footwear Project Designer, Design Accelerator",https://newbalance.wd1.myworkdayjobs.com/Careers/job/Boston-MA-Headquarters---NB/Senior-Footwear-Project-Designer--Design-Accelerator_R38011-1/apply
Global Football Footwear Designer,https://newbalance.wd1.myworkdayjobs.com/Careers-UK/job/Appleton-House-Warrington/Global-Football-Footwear-Designer_R37476/apply
Senior 3D Motion Designer,https://careers.koto.studio/jobs/7237157-senior-3d-motion-designer
Senior 3D Motion Designer,https://careers.koto.studio/jobs/7237157-senior-3d-motion-designer/applications/new
Senior 3D Motion Designer,https://careers.koto.studio/jobs/7237157-senior-3d-motion-designer/applications/new?iframe=true
Senior Designer,https://careers.koto.studio/jobs/5854094-senior-designer/applications/new?iframe=true
Senior Designer,https://careers.koto.studio/jobs/5854094-senior-designer
Senior Motion Designer,https://careers.koto.studio/jobs/7181515-senior-motion-designer/applications/new?iframe=true
Senior Designer,https://careers.koto.studio/jobs/5854094-senior-designer/applications/new
Senior Motion Designer,https://careers.koto.studio/jobs/7181515-senior-motion-designer
Senior Motion Designer,https://careers.koto.studio/jobs/7181515-senior-motion-designer/applications/new
Midweight Designer,https://careers.koto.studio/jobs/4920220-midweight-designer
Midweight Designer,https://careers.koto.studio/jobs/4920220-midweight-designer/applications/new
Midweight Designer,https://careers.koto.studio/jobs/4920220-midweight-designer/applications/new?iframe=true
Senior Designer,https://careers.koto.studio/jobs/4890001-senior-designer/applications/new?iframe=true
Senior Designer,https://careers.koto.studio/jobs/4890001-senior-designer
Design Director,https://careers.koto.studio/jobs/7085591-design-director/applications/new?iframe=true
Design Director,https://careers.koto.studio/jobs/7085591-design-director
Design Director,https://careers.koto.studio/jobs/7085591-design-director/applications/new
Senior Designer,https://careers.koto.studio/jobs/4890001-senior-designer/applications/new
Design Engineer,https://careers.koto.studio/jobs/6849057-design-engineer
Design Engineer,https://careers.koto.studio/jobs/6849057-design-engineer/applications/new
Design Engineer,https://careers.koto.studio/jobs/6849057-design-engineer/applications/new?iframe=true
Content Writer,https://madebyshape.co.uk/careers/content-writer/
Digital Designer,https://apply.workable.com/haus/j/83947D6161
Creative Director,https://apply.workable.com/haus/j/16327E4241
Production Designer,https://apply.workable.com/haus/j/D716C07097
Creative Director,https://apply.workable.com/haus/j/16327E4241/apply
Digital Designer,https://apply.workable.com/haus/j/83947D6161/apply
Producer / Project Manager,https://apply.workable.com/haus/j/E90D72F22D/apply
Production Designer,https://apply.workable.com/haus/j/D716C07097/apply
Copywriter,https://careers.mcsaatchi.com/jobs/7285683-copywriter-m-f-d-milan
Senior Copywriter,https://careers.mcsaatchi.com/jobs/7067802-senior-copywriter-m-f-d-milan
Graphic Designer,https://careers.mcsaatchi.com/jobs/7263458-graphic-designer
Growth Bid Writer,https://careers.mcsaatchi.com/jobs/7258354-growth-bid-writer
Motion Designer,https://miro.com/careers/vacancy/8364355002/?gh_jid=8364355002
Visual Communications Designer,https://miro.com/careers/vacancy/8424383002/?gh_jid=8424383002
Senior Product Designer,https://miro.com/careers/vacancy/7813658002/?gh_jid=7813658002
Senior Content Designer,https://miro.com/careers/vacancy/8378038002/?gh_jid=8378038002
Graduate Product Designer,https://miro.com/careers/vacancy/8395746002/?gh_jid=8395746002
Design Systems,https://neriakatz.com/careers/jobs
Design Systems,https://neriakatz.com/career/jobs
Design Systems,https://neriakatz.com/job-search-results
Social Content Creator,http://jobs.newengen.com/apply/nihm9QBVSG/Social-Content-Creator-Donut-Studios-Temporary
PRODUCT DESIGNER,https://pininfarina.altamiraweb.com/jobs/product-designerarchitecturecambiano632155165.htm
Brand Designer,https://pony.studio/careers/brand-designer
UX/UI Designer,https://pony.studio/careers/ux-ui-designer
Freelance Brand Designer,https://pony.studio/careers/freelance-brand-designer
Freelance Visual Designer,https://pony.studio/careers/freelance-product-designer
Senior Visual Designer,https://pony.studio/careers/senior-visual-designer
Visual Designer,https://pony.studio/careers/product-designer
3D & Motion Designer,https://pony.studio/careers/motion-illustrator
3D/2D Artist,https://pony.studio/careers/freelance-3d-2d-artist
Brand & Community Lead,https://pressable.com/careers/brand-community-lead/
Freelance Graphic Designer – Private Club Marketing,https://privateclubmarketing.com/about/careers/freelance-graphic-designer/
Creative Team  Sao Paulo,https://rga.com/careers/7481856
"Creative Director  Sao Paulo, Remote",https://rga.com/careers/7526130
Senior Experience Designer / Hybrid / onsite in LondonLondon,https://rga.com/careers/7385713
Senior Designer,https://rga.com/careers/6634618
Visual Designer,https://rga.com/careers/6936629
Senior Designer,https://rga.com/careers/7363403
"Creative Director, ArtBuenos Aires",https://rga.com/careers/7650439
"Senior Designer[EN], [ES], [ZH]Rui Xu",https://saffron-consultants.com/careers/a-day-in-the-life/rui-xu
Senior Designer,https://sullivannyc.com/career/senior-designer/
Sound Designer/Engineer,https://bossjob.com/en-us/job/sound-designer-engineer-remote-245119
Junior Graphic Designer,https://thedieline.com/job/united-states-junior-graphic-designer/
Senior Graphic Designer,https://thedieline.com/job/united-states-senior-graphic-designer/
Sr. Graphic Designer &amp;#8211; Fragrance/Beauty,https://thedieline.com/job/united-states-sr-graphic-designer-fragrance-beauty/
Designer,https://thedieline.com/job/united-states-designer/
Creative Director,https://thedieline.com/job/los-angeles-ca-creative-director/
Design Director,https://thedieline.com/job/australia-design-director/
Design Principal,https://ustwo.careers.hibob.com/jobs/1b43c993-a67f-4c2e-a6b8-cb1fa87d8b44
Design Engineer,https://job-boards.greenhouse.io/vercel/jobs/5709080004
Performance Marketing Designer,https://recruiting.ultipro.ca/VES5100VIFO/JobBoard/32fc2caa-94aa-484d-aec7-51427c5950ce/OpportunityDetail?opportunityId=59e9255f-4809-487c-82b8-0f009b9cfd16
Motion & Graphic Designer,https://weareenigma.com/careers/motion-graphic-designer
Brand Media Lead,https://job-boards.greenhouse.io/webflow/jobs/7591313
"Staff Product Designer, New Products",https://job-boards.greenhouse.io/webflow/jobs/7624566
Creative Director,https://www.akqa.com/careers/creative-director-visual-motion-design-7361835/
Interactive Visual Designer,https://www.akqa.com/careers/interactive-visual-designer-7361735/
Senior UI/ UX Designer,https://www.akqa.com/careers/senior-ui-ux-designer-7361729/
Creative Director,https://www.akqa.com/careers/creative-director-7650143/
Experience Designer,https://www.akqa.com/careers/experience-designer-7353248/
Experience Design Lead,https://www.akqa.com/careers/experience-design-lead-7353029/
Senior Designer,https://www.akqa.com/careers/senior-designer-7560048/
Creative Director,https://www.akqa.com/careers/creative-director-tokyo-7427242/
Associate Creative Director,https://www.akqa.com/careers/associate-creative-director-tokyo-7405007/
Senior User Experience  Designer,https://www.akqa.com/careers/senior-user-experience-ux-designer-6850602/
Associate Design Director,https://www.akqa.com/careers/associate-design-director-xd-uka-tokyo-6893299/
Senior UI Designer,https://www.akqa.com/careers/senior-ui-designer-6054671/
Motion Designer,https://www.akqa.com/careers/motion-designer-7431240/
Senior Strategic Experience Designer,https://www.akqa.com/careers/senior-strategic-experience-designer-7658289/
Designer,https://www.akqa.com/careers/designer-7645915/
"Senior Art Director, Motion/CGI",https://www.akqa.com/careers/senior-art-director-motioncgi-7636549/
Senior Designer,https://www.akqa.com/careers/senior-designer-7487048/
Creative Director,https://www.akqa.com/careers/creative-director-visual-motion-design-7361835/?queryId=undefined&userToken=mm9lw2clztumbbjsuh8
Interactive Visual Designer,https://www.akqa.com/careers/interactive-visual-designer-7361735/?queryId=undefined&userToken=mm9lw2clztumbbjsuh8
Senior UI/ UX Designer,https://www.akqa.com/careers/senior-ui-ux-designer-7361729/?queryId=undefined&userToken=mm9lw2clztumbbjsuh8
Creative Director,https://www.akqa.com/careers/creative-director-7650143/?queryId=undefined&userToken=mm9lw2clztumbbjsuh8
Experience Designer,https://www.akqa.com/careers/experience-designer-7353248/?queryId=undefined&userToken=mm9lw2clztumbbjsuh8
Experience Design Lead,https://www.akqa.com/careers/experience-design-lead-7353029/?queryId=undefined&userToken=mm9lw2clztumbbjsuh8
Senior Designer,https://www.akqa.com/careers/senior-designer-7560048/?queryId=undefined&userToken=mm9lw2clztumbbjsuh8
Creative Director,https://www.akqa.com/careers/creative-director-tokyo-7427242/?queryId=undefined&userToken=mm9lw2clztumbbjsuh8
Associate Creative Director,https://www.akqa.com/careers/associate-creative-director-tokyo-7405007/?queryId=undefined&userToken=mm9lw2clztumbbjsuh8
Senior User Experience  Designer,https://www.akqa.com/careers/senior-user-experience-ux-designer-6850602/?queryId=undefined&userToken=mm9lw2clztumbbjsuh8
Associate Design Director,https://www.akqa.com/careers/associate-design-director-xd-uka-tokyo-6893299/?queryId=undefined&userToken=mm9lw2clztumbbjsuh8
Senior UI Designer,https://www.akqa.com/careers/senior-ui-designer-6054671/?queryId=undefined&userToken=mm9lw2clztumbbjsuh8
Motion Designer,https://www.akqa.com/careers/motion-designer-7431240/?queryId=undefined&userToken=mm9lw2clztumbbjsuh8
Senior Strategic Experience Designer,https://www.akqa.com/careers/senior-strategic-experience-designer-7658289/?queryId=undefined&userToken=mm9lw2clztumbbjsuh8
Designer,https://www.akqa.com/careers/designer-7645915/?queryId=undefined&userToken=mm9lw2clztumbbjsuh8
"Senior Art Director, Motion/CGI",https://www.akqa.com/careers/senior-art-director-motioncgi-7636549/?queryId=undefined&userToken=mm9lw2clztumbbjsuh8
Senior Designer,https://www.akqa.com/careers/senior-designer-7487048/?queryId=undefined&userToken=mm9lw2clztumbbjsuh8
Creative Director,https://www.akqa.com/careers/creative-director-visual-motion-design-7361835/?queryId=undefined&userToken=mm9lw4pebth7bvx2qhm
Interactive Visual Designer,https://www.akqa.com/careers/interactive-visual-designer-7361735/?queryId=undefined&userToken=mm9lw4pebth7bvx2qhm
Senior UI/ UX Designer,https://www.akqa.com/careers/senior-ui-ux-designer-7361729/?queryId=undefined&userToken=mm9lw4pebth7bvx2qhm
Creative Director,https://www.akqa.com/careers/creative-director-7650143/?queryId=undefined&userToken=mm9lw4pebth7bvx2qhm
Experience Designer,https://www.akqa.com/careers/experience-designer-7353248/?queryId=undefined&userToken=mm9lw4pebth7bvx2qhm
Experience Design Lead,https://www.akqa.com/careers/experience-design-lead-7353029/?queryId=undefined&userToken=mm9lw4pebth7bvx2qhm
Senior Designer,https://www.akqa.com/careers/senior-designer-7560048/?queryId=undefined&userToken=mm9lw4pebth7bvx2qhm
Creative Director,https://www.akqa.com/careers/creative-director-tokyo-7427242/?queryId=undefined&userToken=mm9lw4pebth7bvx2qhm
Associate Creative Director,https://www.akqa.com/careers/associate-creative-director-tokyo-7405007/?queryId=undefined&userToken=mm9lw4pebth7bvx2qhm
Senior User Experience  Designer,https://www.akqa.com/careers/senior-user-experience-ux-designer-6850602/?queryId=undefined&userToken=mm9lw4pebth7bvx2qhm
Associate Design Director,https://www.akqa.com/careers/associate-design-director-xd-uka-tokyo-6893299/?queryId=undefined&userToken=mm9lw4pebth7bvx2qhm
Senior UI Designer,https://www.akqa.com/careers/senior-ui-designer-6054671/?queryId=undefined&userToken=mm9lw4pebth7bvx2qhm
Motion Designer,https://www.akqa.com/careers/motion-designer-7431240/?queryId=undefined&userToken=mm9lw4pebth7bvx2qhm
Senior Strategic Experience Designer,https://www.akqa.com/careers/senior-strategic-experience-designer-7658289/?queryId=undefined&userToken=mm9lw4pebth7bvx2qhm
Designer,https://www.akqa.com/careers/designer-7645915/?queryId=undefined&userToken=mm9lw4pebth7bvx2qhm
"Senior Art Director, Motion/CGI",https://www.akqa.com/careers/senior-art-director-motioncgi-7636549/?queryId=undefined&userToken=mm9lw4pebth7bvx2qhm
Senior Designer,https://www.akqa.com/careers/senior-designer-7487048/?queryId=undefined&userToken=mm9lw4pebth7bvx2qhm
Creative Director,https://www.akqa.com/careers/creative-director-visual-motion-design-7361835/?queryId=undefined&userToken=mm9lw8dltkvglx7ratc
Interactive Visual Designer,https://www.akqa.com/careers/interactive-visual-designer-7361735/?queryId=undefined&userToken=mm9lw8dltkvglx7ratc
Senior UI/ UX Designer,https://www.akqa.com/careers/senior-ui-ux-designer-7361729/?queryId=undefined&userToken=mm9lw8dltkvglx7ratc
Creative Director,https://www.akqa.com/careers/creative-director-7650143/?queryId=undefined&userToken=mm9lw8dltkvglx7ratc
Experience Designer,https://www.akqa.com/careers/experience-designer-7353248/?queryId=undefined&userToken=mm9lw8dltkvglx7ratc
Experience Design Lead,https://www.akqa.com/careers/experience-design-lead-7353029/?queryId=undefined&userToken=mm9lw8dltkvglx7ratc
Senior Designer,https://www.akqa.com/careers/senior-designer-7560048/?queryId=undefined&userToken=mm9lw8dltkvglx7ratc
Creative Director,https://www.akqa.com/careers/creative-director-tokyo-7427242/?queryId=undefined&userToken=mm9lw8dltkvglx7ratc
Associate Creative Director,https://www.akqa.com/careers/associate-creative-director-tokyo-7405007/?queryId=undefined&userToken=mm9lw8dltkvglx7ratc
Senior User Experience  Designer,https://www.akqa.com/careers/senior-user-experience-ux-designer-6850602/?queryId=undefined&userToken=mm9lw8dltkvglx7ratc
Associate Design Director,https://www.akqa.com/careers/associate-design-director-xd-uka-tokyo-6893299/?queryId=undefined&userToken=mm9lw8dltkvglx7ratc
Senior UI Designer,https://www.akqa.com/careers/senior-ui-designer-6054671/?queryId=undefined&userToken=mm9lw8dltkvglx7ratc
Motion Designer,https://www.akqa.com/careers/motion-designer-7431240/?queryId=undefined&userToken=mm9lw8dltkvglx7ratc
Senior Strategic Experience Designer,https://www.akqa.com/careers/senior-strategic-experience-designer-7658289/?queryId=undefined&userToken=mm9lw8dltkvglx7ratc
Designer,https://www.akqa.com/careers/designer-7645915/?queryId=undefined&userToken=mm9lw8dltkvglx7ratc
"Senior Art Director, Motion/CGI",https://www.akqa.com/careers/senior-art-director-motioncgi-7636549/?queryId=undefined&userToken=mm9lw8dltkvglx7ratc
Senior Designer,https://www.akqa.com/careers/senior-designer-7487048/?queryId=undefined&userToken=mm9lw8dltkvglx7ratc
"Design & Startup Workplace Healthy and Safety Program Manager, WHS Design, Construction & Startup, WHS DCS",https://www.amazon.jobs/en/jobs/3186494/design-startup-workplace-healthy-and-safety-program-manager-whs-design-construction-startup-whs-dcs
"Software Development Manager III, FaST",https://www.amazon.jobs/en/jobs/3124692/software-development-manager-iii-fast-fashion-subsidiary-tech
Principal Product Mgr.,https://www.amazon.jobs/en/jobs/3160405/principal-product-mgr-tech-brand-measurement-measurement-ad-tech-and-data-science-mads
"Sr. Product Manager Tech, Fashion & Fitness Category Excellence",https://www.amazon.jobs/en/jobs/3189258/sr-product-manager-tech-fashion-fitness-category-excellence
"Senior UX Designer, FBA and SCA",https://www.amazon.jobs/en/jobs/3193182/senior-ux-designer-fba-and-sca
"Product Design TPM, HW Development",https://www.amazon.jobs/en/jobs/3193169/product-design-tpm-hw-development
"UX Designer, AWS Applied AI Solutions",https://www.amazon.jobs/en/jobs/3182283/ux-designer-aws-applied-ai-solutions
"Sr. Product Designer, AI Design Systems Lead, Goodreads",https://www.amazon.jobs/en/jobs/3155533/sr-product-designer-ai-design-systems-lead-goodreads
"Senior Solutions Design Engineer, GES Operations Engineering",https://www.amazon.jobs/en/jobs/3129244/senior-solutions-design-engineer-ges-operations-engineering
"Sr Solutions Design Engineer, GES Operations Engineering",https://www.amazon.jobs/en/jobs/3121503/sr-solutions-design-engineer-ges-operations-engineering
"Physical SOC Analyst, Strategic Security Design and Operations",https://www.amazon.jobs/en/jobs/3193004/physical-soc-analyst-strategic-security-design-and-operations-ssdo
"Sr Business Development Manager, Amazon Fashion & Fitness",https://www.amazon.jobs/en/jobs/3192965/sr-business-development-manager-amazon-fashion-fitness
"Senior UX Design, Amazon Delivery Experience",https://www.amazon.jobs/en/jobs/3192869/senior-ux-design-amazon-delivery-experience
UX Designer II,https://www.amazon.jobs/en/jobs/3153524/ux-designer-ii-amz26591-1
"Sr. UX Designer, Amazon Live",https://www.amazon.jobs/en/jobs/3192825/sr-ux-designer-amazon-live
"Data Engineer, AFT BI Content",https://www.amazon.jobs/en/jobs/3138927/data-engineer-aft-bi-content
Brand Manager,https://www.amazon.jobs/en/jobs/3192785/brand-manager-sbs-kitchen
AI Content Expert (Part,https://www.amazon.jobs/en/jobs/3150272/ai-content-expert-part-time-artificial-general-intelligence
Software Development Manager,https://www.amazon.jobs/en/jobs/3123164/software-development-manager-devices-advertising-devices-content-and-advertising
"Applied Scientist, Prime Video",https://www.amazon.jobs/en/jobs/3192652/applied-scientist-prime-video-content-reasoning-enrichment-and-localization-team
"Sponsorship Campaign Manager, Amazon Music Sponsorships",https://www.amazon.jobs/en/jobs/3175024/sponsorship-campaign-manager-amazon-music-sponsorships
"Senior Vendor Manager , Amazon Music Merchandise",https://www.amazon.jobs/en/jobs/3159317/senior-vendor-manager-12-month-ftc-amazon-music-merchandise
"Design Manager, WD&C, Workplace Design & Construction",https://www.amazon.jobs/en/jobs/3192585/design-manager-wd-c-workplace-design-construction-wd-c
Brand Manager,https://www.amazon.jobs/en/jobs/3142610/brand-manager-sbs-kitchen
"SBS Assistant Brand Manager, Consumables",https://www.amazon.jobs/en/jobs/3192524/sbs-assistant-brand-manager-consumables-india
"Software Dev Engineer III, AWS TCX Content Automations Team",https://www.amazon.jobs/en/jobs/3177927/software-dev-engineer-iii-aws-tcx-content-automations-team
Principal Product Mgr.,https://www.amazon.jobs/en/jobs/2938357/principal-product-mgr-tech-brand-measurement-measurement-ad-tech-and-data-science-mads
"Sr. Product Design –Terminals, Amazon Leo",https://www.amazon.jobs/en/jobs/3103777/sr-product-design-terminals-amazon-leo
"Construction Manager, GES Southwest Design & Construction",https://www.amazon.jobs/en/jobs/3112254/construction-manager-ges-southwest-design-construction
"Research Scientist II, Brand Registry",https://www.amazon.jobs/en/jobs/3178384/research-scientist-ii-brand-registry
"Senior Applied Scientist, Alexa Sensitive Content Intelligence",https://www.amazon.jobs/en/jobs/3192282/senior-applied-scientist-alexa-sensitive-content-intelligence-asci
"Senior Process Design Engineer, NASC Engineering",https://www.amazon.jobs/en/jobs/3192287/senior-process-design-engineer-nasc-engineering
"Applied Scientist II, Alexa Sensitive Content Intelligence",https://www.amazon.jobs/en/jobs/3192255/applied-scientist-ii-alexa-sensitive-content-intelligence-asci
"Ops Design Engineer, Operations Design",https://www.amazon.jobs/en/jobs/3174107/ops-design-engineer-operations-design-engineering-planning-analytics
"Reality Capture Design Manager, Integrated Design Solutions",https://www.amazon.jobs/en/jobs/3185306/reality-capture-design-manager-integrated-design-solutions
"Senior UX Designer Kiro, Kiro",https://www.amazon.jobs/en/jobs/3192219/senior-ux-designer-kiro-kiro
"Sr. UX Designer, Shopping AI Innovation",https://www.amazon.jobs/en/jobs/3191031/sr-ux-designer-shopping-ai-innovation
"Senior Manager, Technical Program Management, Design Engineering, WWEI SUE",https://www.amazon.jobs/en/jobs/3182165/senior-manager-technical-program-management-design-engineering-wwei-sue
"Sr. VM, Strategic Partnerships, Fashion & Fitness",https://www.amazon.jobs/en/jobs/3173404/sr-vm-strategic-partnerships-fashion-fitness
"Software Development Manager III, FaST  Payments",https://www.amazon.jobs/en/jobs/3124667/software-development-manager-iii-fast-fashion-subsidiary-tech-payments
"Music Coordinator, Amazon MGM Studios Music",https://www.amazon.jobs/en/jobs/3148534/music-coordinator-amazon-mgm-studios-music
"Sr. UX Researcher, Amazon Health, Amazon Health",https://www.amazon.jobs/en/jobs/3118427/sr-ux-researcher-amazon-health-amazon-health
"Software Development Engineer II, C/C++ Hardware/Software Co",https://www.amazon.jobs/en/jobs/3191932/software-development-engineer-ii-c-c-hardware-software-co-design-mla-annapurna-labs
